rule_id,trigger,outcome,priority,evidence_required
OVR-001,Confirmed UN/UAE TFS / sanctions true match,Hard Stop / Freeze / Report,Highest,Sanctions case record; freeze/escalation/reporting evidence
OVR-002,Prohibited customer / activity / product / jurisdiction,Reject / Exit,Highest,Risk-appetite reference; rejection/exit approval
OVR-003,Synthetic/fictitious identity; forged/tampered ID,Reject / Internal Watchlist,Highest,Fraud evidence; IDSP result; investigation
OVR-004,Unable / refused to identify or verify UBO,Reject or High pending remediation,High,UBO evidence gap; remediation record; Compliance decision
OVR-005,Shell bank or FI permitting shell-bank use,Reject / Exit,Highest,FI due diligence; respondent controls
OVR-006,Unlicensed regulated activity,Reject / Prohibited,Highest,License review; legal/compliance assessment
OVR-007,"Anonymous, bearer-like or unverified product feature",Prohibited,Highest,Product risk assessment; block evidence
OVR-008,"Foreign PEP, IO PEP, high-risk PEP nexus",HIGH Floor,High,PEP screening; SoW/SoF; senior approval
OVR-009,Material adverse media (ML/TF/PF/sanctions/fraud),HIGH Floor or Reject,High,Adverse-media review; mitigation rationale
OVR-010,STR/SAR filed or confirmed suspicion,HIGH Floor,High,Restricted investigation; tipping-off controls
OVR-011,High-risk country exposure (non-prohibited),HIGH Floor,High,Country-risk library; EDD rationale; approval
OVR-012,High-risk business / product / merchant activity,HIGH Floor,High,Business/product risk assessment; EDD
OVR-013,Failed digital identity controls (liveness/biometric/deepfake),HIGH Floor or Reject,High,ID vendor result; fraud/compliance review
OVR-014,Correspondent / nested / payable-through FI exposure,HIGH Floor,High,FI EDD; downstream controls; senior approval
OVR-015,Non-resident (no other High indicator),MEDIUM Floor,Medium,Residency evidence; purpose; expected activity
OVR-016,Moderate adverse media / domestic PEP with mitigants,MEDIUM Floor,Medium,Disposition rationale; approval
OVR-017,Unassessed / medium-risk country,MEDIUM Floor,Medium,Country-risk task; remediation owner
OVR-018,Document/manual verification resolved (not strong assurance),MEDIUM Floor,Medium,Manual review evidence; approval
OVR-019,New entity / limited operating history,MEDIUM Floor,Medium,Operating evidence; follow-up review
OVR-020,Explained VPN/proxy / moderate device anomaly,MEDIUM Floor,Medium,Digital/fraud review; monitoring adjustment
