rakez_code,activity_name,description,licence_type,activity_group,isic_code,isic_title,isic_level,aml_rating,risk_score,risk_theme,cdd_edd,matched_rules,prohibited,zone,source,mapping_basis
5010-04,“Used Automobile Trading”.,,Commercial,Trading in motor vehicles and motorcysles,501,Sea and coastal water transport,Group,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5010-04 → ISIC 501 (Group)
2411,(Manufacture of Basic Chemicals).,,Industrial,Fodder and fertilizers manufacturing,241,Manufacture of basic iron and steel,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 2411 → ISIC 241 (Group)
RAKEZ /2017/24,Academic Liaison Office This is an office established in Dubai by any,"international academic institution to represent and boost ties and to facilitate academic exchange with its local counterparts; also, educating local students and academic institutions of partners’ universities and their activities and specializations, such office is not allowed to carry out admission services or commercial activities. Educational Training Instititute /",Educational,consultancy,?,Unresolved — manual ISIC mapping,Unresolved,Medium,2,consultancy,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Theme / group heuristic — ISIC parent not resolved
291503,Access Cradles Manufacturing,"Includes manufacturing suspended access cradles for cleaning and maintaining multi-storey buildings, the process involves cutting and fixing steel and aluminium bars and sections to fabricate the components, including roof mounted davit jibs, gantries, trolley units and monorails, as well as fixing electrical motors and safety equipment.",Industrial,Equipment and engines manufacturing,291,Manufacture of motor vehicles,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 291503 → ISIC 291 (Group)
7412-02,Accounting & Bookkeeping,"Includes the offices specialized in setting and designing accounting systems for companies and firms, designing accounting documents, records and books, setting documentary cycles or other accounting processes. These offices offer services against fixed fees, but may not examine or audit accounts.",Service,Accounts,741,Specialized design activities,Group,High,3,Professional / technical services,Enhanced Due Diligence (EDD),H05,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 7412-02 → ISIC 741 (Group)
809044,Accounting Training,"Includes providing training on maintaining, auditing and recording financial transactions, including, accounting auditing, bookkeeping, tax accounting. Educational Training Instititute /",Educational,consultancy,80,Investigation and security activities,Division,High,3,Security / investigation / private protection,Enhanced Due Diligence (EDD),H05,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 809044 → ISIC 80 (Division)
5149-08,Acids & Alkalines Trading,Includes reselling acids and alkalines for producing other industrial products and compounds.,Commercial,Chemicals trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5149-08 → ISIC 51 (Division)
242209,Adhesive & Paper Slitting,Includes using slitting machines to cut large rolls of adhesives and papers into narrower rolls.,Industrial,Manufacturing of chemicals,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 242209 → ISIC 242 (Group)
242205,Adhesives Manufacturing,"Includes manufacturing adhesive materials for sticking paper, glass, metal, plastic or wood pieces, to use in printing, lamination, packaging, in construction for fixing ceramic, slabs and maquette, or wall-paper...etc, also producing adhesive tapes in paper, plastic, fabrics or others.",Industrial,Manufacturing of chemicals,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,MH05,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 242205 → ISIC 242 (Group)
514917,Adhesives Trading,"Includes reselling of glass, metal, plastic, wood fixing adhesive, packs, boxes, carton boxes closing tapes, paper, tiles, flooring and cladding adhesives and tapes, and any other material not classified under glue and gum.",Commercial,Chemicals trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 514917 → ISIC 51 (Division)
809053,Advanced First Aid Training Center A center specialized in scientifically,"designing and providing training programs in advanced first aid and its applications, in order to save a life or alleviate injury impacts to minimal level and facilitate therapeutic procedures to be done by the doctor. Educational Training Instititute /",Educational,consultancy,80,Investigation and security activities,Division,Medium,2,Security / investigation / private protection,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 809053 → ISIC 80 (Division)
